,twitter_id,tone_AI,perceived_judgement_AI,polarity_AI
0,tweet_id:1971561698277589079,,,
1,tweet_id:1969421676246155329,,,
2,tweet_id:1969757691414552742,,,
3,tweet_id:1969677647954526582,,,
4,tweet_id:1971554490160709696,,,
5,tweet_id:1967026817623355632,Neutral,InFavor,0.5
6,tweet_id:1934803697722380411,Neutral,InFavor,0.5
7,tweet_id:1923761077374075233,Neutral,InFavor,0.5
8,tweet_id:1928382617683964151,Enjoyment,InFavor,0.8
9,tweet_id:1923294571171025000,Enjoyment,InFavor,0.8
10,tweet_id:1931620556627153280,Neutral,Unsure,0.0
11,tweet_id:1925532643472638081,Contempt,Opposedto,-0.7
12,tweet_id:1924374593533595698,Neutral,Unsure,0.0
13,tweet_id:1933001323751899314,Neutral,InFavor,0.5
14,tweet_id:1942551280465183013,Neutral,Unsure,0.0
15,tweet_id:1923187050208989436,Enjoyment,InFavor,0.8
16,tweet_id:1949659578054111438,Enjoyment,InFavor,0.8
17,tweet_id:1923882731869700352,Neutral,Unsure,0.2
18,tweet_id:1932669708433830086,Neutral,InFavor,0.5
19,tweet_id:1929471977988718802,Neutral,Unsure,0.2
20,tweet_id:1947248330011984031,Sadness,InFavor,0.5
21,tweet_id:1941004156455866869,Neutral,Unsure,0.0
22,tweet_id:1924300323168076126,Contempt,Opposedto,-0.7
23,tweet_id:1930669716969758769,Neutral,Unsure,0.0
24,tweet_id:1940713236023886204,Neutral,InFavor,0.5
25,tweet_id:1923716956877898060,Enjoyment,InFavor,0.8
26,tweet_id:1940774660435804204,Neutral,InFavor,0.5
27,tweet_id:1925127121409876278,Anger,Unsure,-0.5
28,tweet_id:1946053603246182628,Neutral,Unsure,0.0
29,tweet_id:1944639308536938536,Neutral,InFavor,0.5
30,tweet_id:1943203139278246294,Neutral,InFavor,0.5
31,tweet_id:1955202296427786605,Neutral,Opposedto,0.2
32,tweet_id:1934886544114168253,Neutral,InFavor,0.5
33,tweet_id:1923662232405278919,Neutral,InFavor,0.5
34,tweet_id:1926907494086979602,Neutral,Unsure,0.0
35,tweet_id:1923875867077509411,Neutral,InFavor,0.5
36,tweet_id:1923630807153074444,Neutral,Unsure,0.0
37,tweet_id:1941134530611753433,Neutral,InFavor,0.5
38,tweet_id:1926888188909412476,Neutral,Unsure,0.0
39,tweet_id:1923286646633472341,Enjoyment,InFavor,0.8
40,tweet_id:1936998096405430626,Fear,Unsure,-0.5
41,tweet_id:1939566800787947745,Enjoyment,InFavor,0.8
42,tweet_id:1926831533379252274,Contempt,Opposedto,-0.7
43,tweet_id:1940670364641907201,Contempt,Opposedto,-0.8
44,tweet_id:1923683612010131910,Surprise,Opposedto,-0.5
45,tweet_id:1946564675346596152,Surprise,InFavor,0.5
46,tweet_id:1923638166285901904,Neutral,InFavor,0.5
47,tweet_id:1923320297345732700,Neutral,InFavor,0.5
48,tweet_id:1924378170993868904,Enjoyment,InFavor,0.8
49,tweet_id:1924392910167953677,Neutral,InFavor,0.5
50,tweet_id:1949746880449229046,Sadness,Opposedto,-0.6
51,tweet_id:1950133362322002293,Contempt,Opposedto,-0.7
52,tweet_id:1927314213879349403,Contempt,Opposedto,-0.7
53,tweet_id:1940292993808019522,Neutral,InFavor,0.5
54,tweet_id:1924378009953542537,Surprise,Unsure,-0.2
55,tweet_id:1938836923776409782,Neutral,Unsure,0.0
56,tweet_id:1925368140965585343,Neutral,InFavor,0.5
57,tweet_id:1935714198824079561,Neutral,Unsure,0.0
58,tweet_id:1930885466217128275,Disgust,Opposedto,-0.7
59,tweet_id:1930218906213593297,Neutral,InFavor,0.5
60,tweet_id:1935921794642592190,Neutral,InFavor,0.5
61,tweet_id:1924309637819752766,Neutral,InFavor,0.5
62,tweet_id:1955933764552655295,Contempt,Opposedto,-0.8
63,tweet_id:1923638436109631607,Neutral,Unsure,0.0
64,tweet_id:1923383667621072949,Enjoyment,InFavor,0.8
65,tweet_id:1924354881680482694,Neutral,InFavor,0.5
66,tweet_id:1922534410252902826,Neutral,Unsure,0.0
67,tweet_id:1922844382971166886,Contempt,Opposedto,-0.8
68,tweet_id:1924419787079487808,Enjoyment,InFavor,0.8
69,tweet_id:1926839736657686962,Neutral,InFavor,0.5
70,tweet_id:1952225734824718475,Neutral,Unsure,0.0
71,tweet_id:1948555465111339302,Neutral,Unsure,0.0
72,tweet_id:1926906702865084822,Contempt,Opposedto,-0.8
73,tweet_id:1950006108816380229,Neutral,Unsure,0.0
74,tweet_id:1968194593759039697,Neutral,InFavor,0.5
75,tweet_id:1948926495147299212,Neutral,Unsure,0.0
76,tweet_id:1924365597749751904,Neutral,InFavor,0.5
77,tweet_id:1948591058142855463,Neutral,InFavor,0.5
78,tweet_id:1930776852320411868,Neutral,Unsure,0.0
79,tweet_id:1927194440478691825,Neutral,Opposedto,0.2
80,tweet_id:1939551667873370481,Neutral,InFavor,0.5
81,tweet_id:1925790196273910086,Neutral,InFavor,0.5
82,tweet_id:1927207003417415981,Contempt,Opposedto,-0.7
83,tweet_id:1925031071705661526,Enjoyment,InFavor,0.8
84,tweet_id:1938973085023014921,Neutral,Unsure,0.0
85,tweet_id:1942125386135216382,Neutral,Unsure,0.0
86,tweet_id:1925127592174383230,Anger,Unsure,-0.5
87,tweet_id:1923218990165307716,Anger,Opposedto,-0.8
88,tweet_id:1924383590462411218,Neutral,Unsure,0.0
89,tweet_id:1923780889315770586,Neutral,InFavor,0.5
90,tweet_id:1930772576638587147,Anger,Opposedto,-0.8
91,tweet_id:1923666256676389197,Neutral,Unsure,0.0
92,tweet_id:1937119346356256934,Anger,InFavor,0.7
93,tweet_id:1936966578626847122,Fear,Opposedto,-0.5
94,tweet_id:1927336679636861167,Anger,Opposedto,-0.8
95,tweet_id:1933490972064932285,Anger,Opposedto,-0.7
96,tweet_id:1949656594850967930,Neutral,InFavor,0.5
97,tweet_id:1928304414898393145,Neutral,Unsure,0.0
98,tweet_id:1943175173726966068,Neutral,Unsure,0.0
99,tweet_id:1925223933676003767,Contempt,InFavor,-0.5
100,tweet_id:1931573661863166376,Contempt,Opposedto,-0.8
101,tweet_id:1967099520774455566,Enjoyment,InFavor,0.8
102,tweet_id:1938624613355065786,Neutral,InFavor,0.5
103,tweet_id:1929501216632926232,Anger,Opposedto,-1.0
104,tweet_id:1942552816499003652,Neutral,Unsure,0.0
105,tweet_id:1921922751985553898,Anger,Opposedto,-0.8
106,tweet_id:1910902241202184588,Neutral,InFavor,0.5
107,tweet_id:1921848308491845649,Neutral,InFavor,0.8
108,tweet_id:1919334684942639363,Enjoyment,InFavor,1.0
109,tweet_id:1921957374635520233,Surprise,InFavor,0.5
110,tweet_id:1921919199724589547,Enjoyment,InFavor,0.8
111,tweet_id:1921748546795061565,Neutral,InFavor,0.8
112,tweet_id:1921805791272616082,Enjoyment,InFavor,0.8
113,tweet_id:1423468957638430720,Contempt,Opposedto,-0.8
114,tweet_id:1921171192771473709,Enjoyment,InFavor,0.8
115,tweet_id:1921231413229080720,Enjoyment,InFavor,0.8
116,tweet_id:1921918030197473523,Enjoyment,InFavor,0.8
117,tweet_id:1921752621515231697,Sadness,Unsure,-0.5
118,tweet_id:1523167342951211008,Neutral,Unsure,0.0
119,tweet_id:1921869885581197579,Sadness,InFavor,0.5
120,tweet_id:1839193747877478699,Enjoyment,InFavor,0.8
121,tweet_id:1921740430695342290,Neutral,InFavor,0.8
122,tweet_id:1921883902030774535,Enjoyment,InFavor,0.8
123,tweet_id:1921523627947696348,Neutral,InFavor,0.5
124,tweet_id:1919957910093762935,Enjoyment,InFavor,0.8
125,tweet_id:1840608670842794190,Neutral,InFavor,0.5
126,tweet_id:1910566015370748369,Neutral,Unsure,0.0
127,tweet_id:1894001833158545408,Contempt,InFavor,0.7
128,tweet_id:1909886904868418044,Enjoyment,InFavor,0.8
129,tweet_id:1919290261735145899,Neutral,InFavor,0.5
130,tweet_id:1541687673144111104,Contempt,Opposedto,-0.8
131,tweet_id:1921910868377321686,Neutral,Unsure,0.0
132,tweet_id:1910503942758511101,Neutral,Unsure,0.5
133,tweet_id:1921700031825891580,Contempt,Opposedto,-0.8
134,tweet_id:1919334041696034907,Enjoyment,InFavor,1.0
135,tweet_id:1919335872706834845,Enjoyment,InFavor,1.0
136,tweet_id:1921931046007812540,Enjoyment,InFavor,0.8
137,tweet_id:1921916096736526498,Enjoyment,InFavor,0.8
138,tweet_id:1916820865934598241,Neutral,Unsure,0.0
139,tweet_id:1921921554323050770,Neutral,InFavor,0.5
140,tweet_id:1921916941213560867,Neutral,InFavor,0.5
141,tweet_id:1910504237974642971,Neutral,InFavor,0.5
142,tweet_id:1921758011434873044,Neutral,InFavor,0.5
143,tweet_id:1921797063341130015,Neutral,InFavor,0.5
144,tweet_id:1921796477556228510,Enjoyment,InFavor,0.8
145,tweet_id:1523433481229193216,Contempt,Opposedto,-0.8
146,tweet_id:1921846836412707237,Enjoyment,InFavor,0.8
147,tweet_id:1915283709697368292,Enjoyment,InFavor,0.8
148,tweet_id:1541689789514416129,Disgust,Opposedto,-0.8
149,tweet_id:1906248143953645676,Neutral,Unsure,0.0
150,tweet_id:1921802829024428315,Neutral,Unsure,0.0
151,tweet_id:730603343802834945,Neutral,Unsure,0.0
152,tweet_id:1523535506721878016,Enjoyment,InFavor,0.8
153,tweet_id:1899725104390484382,Neutral,InFavor,0.5
154,tweet_id:1921734310354399334,Neutral,InFavor,0.5
155,tweet_id:1920373371155501274,Neutral,InFavor,0.5
156,tweet_id:1827997041433493810,Neutral,InFavor,0.5
157,tweet_id:1890139273422381083,Neutral,Unsure,0.0
158,tweet_id:1844146520121352440,Neutral,Unsure,0.0
159,tweet_id:1921857610807918785,Neutral,Unsure,0.2
160,tweet_id:1921813829060841785,Neutral,Unsure,0.2
161,tweet_id:1877596483559489894,Fear,Opposedto,-0.7
162,tweet_id:1911555920989159715,Neutral,InFavor,0.5
163,tweet_id:1443063078778593280,Neutral,InFavor,0.5
164,tweet_id:1918511432880058375,Neutral,InFavor,0.5
165,tweet_id:1921890067045384573,Neutral,Unsure,0.5
166,tweet_id:1911596214505886006,Anger,InFavor,0.8
167,tweet_id:1921930420486021561,Enjoyment,InFavor,0.8
168,tweet_id:1905100212995059957,Neutral,InFavor,0.5
169,tweet_id:1839159432690937976,Neutral,InFavor,0.5
170,tweet_id:1446019013298081797,Neutral,InFavor,0.5
171,tweet_id:1906935542346043671,Neutral,InFavor,0.5
172,tweet_id:1523571601232785408,Neutral,Unsure,0.0
173,tweet_id:1876456471707496505,Neutral,Unsure,0.0
174,tweet_id:1914633651364749529,Enjoyment,InFavor,0.8
175,tweet_id:1877551185768694030,Neutral,Unsure,0.0
176,tweet_id:1891001426199072871,Enjoyment,InFavor,0.8
177,tweet_id:1921242654383251776,Neutral,InFavor,0.75
178,tweet_id:1899744373971263890,Neutral,Unsure,0.0
179,tweet_id:1921964702986326473,Enjoyment,InFavor,0.8
180,tweet_id:1889150847051067652,Neutral,InFavor,0.5
181,tweet_id:1123750456545693696,Enjoyment,InFavor,0.8
182,tweet_id:1922197426146050057,Enjoyment,InFavor,0.8
183,tweet_id:1128603819682590720,Anger,Opposedto,-0.8
184,tweet_id:1921929453225099540,Neutral,InFavor,0.5
185,tweet_id:1891432583692484973,Anger,InFavor,0.8
186,tweet_id:1921893228569407892,Enjoyment,InFavor,0.8
187,tweet_id:1919750994822627823,Neutral,InFavor,0.5
188,tweet_id:1878109617051328530,Neutral,Unsure,0.0
189,tweet_id:1921863190947791312,Neutral,Unsure,0.0
190,tweet_id:1896125886279352404,Anger,Opposedto,-1.0
191,tweet_id:1827935745828647177,Neutral,InFavor,0.5
192,tweet_id:1914847943204733278,Neutral,InFavor,0.5
193,tweet_id:730033377848504320,Neutral,InFavor,0.5
194,tweet_id:1921524921387438084,Neutral,Unsure,0.5
195,tweet_id:1102203768504893442,Neutral,InFavor,0.5
196,tweet_id:1921596241412067534,Neutral,InFavor,0.5
197,tweet_id:1922133941366198731,Enjoyment,InFavor,0.8
198,tweet_id:731394425394450432,Neutral,InFavor,0.5
199,tweet_id:1129258881014571009,Anger,Opposedto,-0.8
200,tweet_id:1418205439372632065,Neutral,InFavor,0.5
201,tweet_id:1921169597937709308,Neutral,InFavor,0.5
202,tweet_id:1922163385590022343,Neutral,InFavor,0.5
203,tweet_id:1523136171014262784,Neutral,InFavor,0.8
204,tweet_id:731506831126867968,Neutral,InFavor,0.5
205,tweet_id:731491790109335552,Neutral,Unsure,0.0
206,tweet_id:1921763511585112488,Enjoyment,InFavor,0.8
207,tweet_id:731461963323052032,Neutral,Unsure,0.0
208,tweet_id:1921912048100810790,Surprise,Opposedto,-0.5
209,tweet_id:1842437059383832828,Neutral,Unsure,0.0
210,tweet_id:1919605438393319553,Neutral,InFavor,0.5
211,tweet_id:1919600702646898919,Neutral,InFavor,0.5
212,tweet_id:1919617181438136802,Neutral,InFavor,0.5
213,tweet_id:1489403744231964673,Neutral,Unsure,0.0
214,tweet_id:1521678224744337409,Neutral,InFavor,0.5
215,tweet_id:1922461862609994125,Neutral,InFavor,0.5
216,tweet_id:1971546289960890373,Neutral,Unsure,0.0
217,tweet_id:1970437286375346447,Enjoyment,InFavor,0.8
218,tweet_id:1971247980050333790,Surprise,InFavor,0.8
219,tweet_id:1971497327409181173,Contempt,Opposedto,-0.8
220,tweet_id:1971458341210816722,Neutral,InFavor,0.5
221,tweet_id:1969529503517945953,Anger,InFavor,0.8
222,tweet_id:1969671241754951778,Contempt,Opposedto,-0.8
223,tweet_id:1967970035865100589,Anger,Opposedto,-0.9
224,tweet_id:1971088605880910299,Anger,Opposedto,-0.9
225,tweet_id:1971544803059093613,Enjoyment,InFavor,0.8
226,tweet_id:1969765563301032167,Anger,Opposedto,-0.8
227,tweet_id:1971525482035429551,Contempt,Opposedto,-0.7
228,tweet_id:1971239367172817119,Contempt,Opposedto,-0.8
229,tweet_id:1971283673019285532,Fear,Opposedto,-0.8
230,tweet_id:1970059421192786402,Anger,Opposedto,-0.8
231,tweet_id:1971273825384816964,Anger,InFavor,0.7
232,tweet_id:1968904153557832122,Contempt,Opposedto,-0.8
233,tweet_id:1968121020553761078,Contempt,InFavor,0.8
234,tweet_id:1969557851250311639,Anger,InFavor,0.8
235,tweet_id:1971285366264168872,Anger,InFavor,0.7
236,tweet_id:1970186347928293744,Neutral,Unsure,0.0
237,tweet_id:1970033836546216388,Contempt,Opposedto,-0.8
238,tweet_id:1970467916744138790,Enjoyment,InFavor,0.8
239,tweet_id:1970898651628159106,Neutral,Unsure,0.2
240,tweet_id:1969820670776459478,Sadness,Opposedto,-0.8
241,tweet_id:1970428313593356669,Neutral,InFavor,0.5
242,tweet_id:1971430696070828205,Neutral,InFavor,0.5
243,tweet_id:1969214856088994066,Fear,Unsure,-0.5
244,tweet_id:1971329722786382281,Contempt,InFavor,0.8
245,tweet_id:1969238862955167936,Neutral,InFavor,0.5
246,tweet_id:1970824148336181299,Anger,Opposedto,-0.9
247,tweet_id:1970386705585934765,Anger,Opposedto,-0.7
248,tweet_id:1971506203223265719,Neutral,InFavor,0.5
249,tweet_id:1971419032277614882,Enjoyment,InFavor,0.8
250,tweet_id:1969665376335380976,Anger,Opposedto,-0.8
251,tweet_id:1970314945138160050,Disgust,Opposedto,-0.8
252,tweet_id:1083203084241780737,Enjoyment,InFavor,0.8
253,tweet_id:1970763768545071114,Neutral,InFavor,0.5
254,tweet_id:1970809863237521426,Contempt,Opposedto,-0.8
255,tweet_id:1970299506181968374,Neutral,Unsure,0.0
256,tweet_id:1971265276491772001,Contempt,Opposedto,-0.8
257,tweet_id:1969555946927001997,Contempt,Opposedto,-0.8
258,tweet_id:1969959332147322961,Fear,Opposedto,-0.8
259,tweet_id:1967791144844272035,Neutral,Unsure,0.0
260,tweet_id:1971514701780836743,Enjoyment,InFavor,0.8
261,tweet_id:1970497487963349443,Neutral,InFavor,0.5
262,tweet_id:1970844016850907448,Anger,Opposedto,-0.8
263,tweet_id:1967905924607029349,Anger,Opposedto,-0.8
264,tweet_id:1971517843444555966,Enjoyment,InFavor,0.8
265,tweet_id:1969565796360994830,Anger,Opposedto,-0.8
266,tweet_id:1971121371788021923,Enjoyment,Unsure,0.75
267,tweet_id:1967684197830807726,Anger,Opposedto,-0.8
268,tweet_id:1970388038518989303,Neutral,Unsure,0.0
269,tweet_id:1968999389151842465,Anger,Opposedto,-0.8
270,tweet_id:1969650076323889475,Anger,Opposedto,-0.8
271,tweet_id:1970285879597154659,Contempt,Opposedto,-0.8
272,tweet_id:1971546823686033671,Disgust,Opposedto,-0.8
273,tweet_id:1967808572974346353,Enjoyment,InFavor,0.8
274,tweet_id:1970925687247622526,Contempt,Opposedto,-0.8
275,tweet_id:1969930023370158149,Anger,Opposedto,-0.8
276,tweet_id:1970739817257542062,Neutral,Opposedto,0.2
277,tweet_id:1971272142898733413,Fear,Opposedto,-1.0
278,tweet_id:1967880858423197885,Anger,InFavor,0.8
279,tweet_id:1970064978972721164,Neutral,InFavor,0.5
280,tweet_id:1971160164431691874,Neutral,Unsure,0.0
281,tweet_id:1971451200945168726,Neutral,Unsure,0.0
282,tweet_id:1971131865517187282,Neutral,Unsure,0.0
283,tweet_id:1971462957042139185,Neutral,Unsure,0.0
284,tweet_id:1967969559098597522,Anger,InFavor,0.8
285,tweet_id:1921917467032436896,Enjoyment,InFavor,0.8
286,tweet_id:1921922248295800980,Neutral,InFavor,0.5
287,tweet_id:1971556574562013307,Neutral,Unsure,0.0
288,tweet_id:1921900711190712638,Neutral,InFavor,0.5
289,tweet_id:1921961152923218135,Neutral,Unsure,0.0
290,tweet_id:1921947223509676250,Enjoyment,InFavor,0.8
291,tweet_id:1921922953324720149,Enjoyment,InFavor,0.8
292,tweet_id:1921940485947412480,Enjoyment,InFavor,1.0
293,tweet_id:1921813164024328478,Neutral,Unsure,0.0
294,tweet_id:1921907150932131992,Enjoyment,InFavor,0.8
295,tweet_id:1874969150260760665,Contempt,Opposedto,-0.8
296,tweet_id:1971557061440717036,Sadness,Unsure,0.0
297,tweet_id:1929467257408692533,Neutral,Unsure,0.0
298,tweet_id:1882802765803761817,Neutral,Unsure,0.0
299,tweet_id:1931021997192126651,Enjoyment,InFavor,0.8
300,tweet_id:1971082005736763404,Enjoyment,InFavor,0.8
301,tweet_id:1921923867121000557,Fear,Unsure,-0.8
302,tweet_id:1921920651964649535,Enjoyment,InFavor,1.0
303,tweet_id:1971554231338541517,Neutral,Unsure,0.5
304,tweet_id:1971555701656035836,Sadness,Opposedto,-0.8
305,tweet_id:1933364245179056532,Neutral,Unsure,0.0
306,tweet_id:1921875694683897951,Neutral,Unsure,0.0
307,tweet_id:1971553317064147135,Anger,Opposedto,-0.8
308,tweet_id:1921760936697704887,Neutral,InFavor,0.5
309,tweet_id:1921749129887355251,Neutral,InFavor,0.5
310,tweet_id:1921779139805143157,Neutral,InFavor,0.5
311,tweet_id:1879802461743095882,Contempt,Opposedto,-0.8
312,tweet_id:1934357396601610344,Enjoyment,InFavor,1.0
313,tweet_id:1943248840519541054,Neutral,Unsure,0.0
314,tweet_id:1923971286667231581,Enjoyment,InFavor,0.8
315,tweet_id:1933165634298503614,Neutral,Unsure,0.2
316,tweet_id:1927570178864304187,Fear,InFavor,0.5
317,tweet_id:1936725442335273223,Contempt,InFavor,0.75
318,tweet_id:1923316900353691861,Enjoyment,InFavor,0.8
319,tweet_id:1923921794899247511,Anger,Opposedto,-0.8
320,tweet_id:1923020722064052410,Enjoyment,InFavor,0.8
321,tweet_id:1922979922672332829,Enjoyment,InFavor,0.8
322,tweet_id:1925897896060178486,Neutral,InFavor,0.5
323,tweet_id:1930270063505883155,Enjoyment,InFavor,0.8
324,tweet_id:1930102260123742427,Neutral,Unsure,0.0
325,tweet_id:1922554183296712934,Neutral,InFavor,0.8
326,tweet_id:1923903694904701153,Enjoyment,InFavor,0.8
327,tweet_id:1930559687830753451,Enjoyment,InFavor,0.8
328,tweet_id:1928722020096708911,Neutral,Unsure,0.0
329,tweet_id:1932622134796292175,Neutral,Unsure,0.0
330,tweet_id:1927984030768582718,Contempt,Opposedto,-0.8
331,tweet_id:1923561207270916267,Anger,Opposedto,-0.8
332,tweet_id:1923180939489792132,Enjoyment,InFavor,0.8
333,tweet_id:1924993548002460051,Contempt,Opposedto,-0.7
334,tweet_id:1943203636299075974,Neutral,InFavor,0.5
335,tweet_id:1923912788453490984,Anger,Opposedto,-0.8
336,tweet_id:1923663345720361056,Enjoyment,InFavor,0.8
337,tweet_id:1941678876901638553,Neutral,InFavor,0.5
338,tweet_id:1925706968347415022,Neutral,InFavor,0.5
339,tweet_id:1928298560623087625,Neutral,InFavor,0.5
340,tweet_id:1940359870164972003,Neutral,InFavor,0.5
341,tweet_id:1928419387511652358,Neutral,InFavor,0.2
342,tweet_id:1945128720362098736,Enjoyment,InFavor,0.8
343,tweet_id:1933142395086074341,Neutral,InFavor,0.5
344,tweet_id:1928296151524200707,Neutral,InFavor,0.5
345,tweet_id:1946055093180383688,Neutral,InFavor,0.5
346,tweet_id:1925790891807019450,Neutral,Unsure,0.0
347,tweet_id:1925461691846074536,Neutral,InFavor,0.5
348,tweet_id:1933554968876769630,Neutral,InFavor,0.8
349,tweet_id:1928306572016386350,Neutral,Unsure,0.0
350,tweet_id:1946140387808072040,Neutral,InFavor,0.5
351,tweet_id:1949654690167161081,Neutral,InFavor,0.5
352,tweet_id:1939612610766503969,Neutral,InFavor,0.5
353,tweet_id:1932929428700717534,Neutral,Unsure,0.2
354,tweet_id:1932766561636597823,Neutral,Unsure,0.0
355,tweet_id:1925720946154840164,Neutral,Unsure,0.0
356,tweet_id:1923672052374044739,Sadness,Opposedto,-0.8
357,tweet_id:1923891286509051946,Enjoyment,InFavor,0.8
358,tweet_id:1924649966796144997,Neutral,InFavor,0.5
359,tweet_id:1943263935433441749,Contempt,Opposedto,-0.7
360,tweet_id:1937879705144741926,Neutral,InFavor,0.5
361,tweet_id:1937050492804427968,Contempt,Opposedto,-0.8
362,tweet_id:1935729294199635989,Neutral,Unsure,0.2
363,tweet_id:1924364400020029680,Contempt,Opposedto,-0.7
364,tweet_id:1942585714287468634,Neutral,InFavor,0.5
365,tweet_id:1943240025547903106,Neutral,InFavor,0.2
366,tweet_id:1947159556553163175,Neutral,Unsure,0.0
367,tweet_id:1925376361042157794,Enjoyment,InFavor,0.9
368,tweet_id:1925432830232076657,Enjoyment,InFavor,0.8
369,tweet_id:1924362438914560050,Disgust,Opposedto,-0.8
370,tweet_id:1930883605926121747,Neutral,InFavor,0.5
371,tweet_id:1925107055100387378,Contempt,Opposedto,-0.8
372,tweet_id:1964300261696106514,Neutral,Unsure,0.0
373,tweet_id:1955203035011154216,Neutral,InFavor,0.5
374,tweet_id:1950005605353116115,Neutral,InFavor,0.5
375,tweet_id:1945257372777165040,Surprise,Unsure,0.5
376,tweet_id:1949654232988016863,Neutral,InFavor,0.5
377,tweet_id:1968286302002114651,Neutral,InFavor,0.5
378,tweet_id:1949810822534086920,Neutral,InFavor,0.5
379,tweet_id:1971560775103000803,Anger,Opposedto,-0.8
380,tweet_id:1128678701535834114,Anger,InFavor,0.8
381,tweet_id:1128678459452968961,Anger,Opposedto,-0.8
382,tweet_id:1921730218131345694,Neutral,InFavor,0.5
383,tweet_id:1971561517536653313,Enjoyment,InFavor,0.9
